date,home,away,hscore,ascore
2021/03/26,読　売,横浜DeNA,8,7
2021/03/26,東京ヤクルト,阪　神,3,4
2021/03/26,広島東洋,中　日,6,7
2021/03/26,東北楽天,北海道日本ハム,8,2
2021/03/26,埼玉西武,オリックス,4,3
2021/03/26,福岡ソフトバンク,千葉ロッテ,8,2
2021/03/27,読　売,横浜DeNA,10,5
2021/03/27,東京ヤクルト,阪　神,5,9
2021/03/27,広島東洋,中　日,4,1
2021/03/27,東北楽天,北海道日本ハム,4,9
2021/03/27,埼玉西武,オリックス,2,3
2021/03/27,福岡ソフトバンク,千葉ロッテ,3,2
2021/03/28,読　売,横浜DeNA,1,1
2021/03/28,東京ヤクルト,阪　神,2,8
2021/03/28,広島東洋,中　日,0,0
2021/03/28,東北楽天,北海道日本ハム,5,0
2021/03/28,埼玉西武,オリックス,5,1
2021/03/28,福岡ソフトバンク,千葉ロッテ,6,5
2021/03/30,横浜DeNA,東京ヤクルト,4,5
2021/03/30,中　日,読　売,3,3
2021/03/30,広島東洋,阪　神,1,0
2021/03/30,北海道日本ハム,埼玉西武,4,11
2021/03/30,千葉ロッテ,東北楽天,0,5
2021/03/30,オリックス,福岡ソフトバンク,1,3
2021/03/31,横浜DeNA,東京ヤクルト,3,5
2021/03/31,中　日,読　売,5,3
2021/03/31,広島東洋,阪　神,4,2
2021/03/31,北海道日本ハム,埼玉西武,1,1
2021/03/31,千葉ロッテ,東北楽天,1,2
2021/03/31,オリックス,福岡ソフトバンク,7,2
2021/04/01,横浜DeNA,東京ヤクルト,11,11
2021/04/01,中　日,読　売,1,3
2021/04/01,広島東洋,阪　神,3,6
2021/04/01,千葉ロッテ,東北楽天,16,5
2021/04/01,オリックス,福岡ソフトバンク,2,0
2021/04/02,読　売,東京ヤクルト,0,2
2021/04/02,横浜DeNA,広島東洋,0,4
2021/04/02,阪　神,中　日,3,6
2021/04/02,北海道日本ハム,千葉ロッテ,4,16
2021/04/02,東北楽天,オリックス,4,2
2021/04/02,福岡ソフトバンク,埼玉西武,2,6
2021/04/03,読　売,東京ヤクルト,2,2
2021/04/03,横浜DeNA,広島東洋,3,7
2021/04/03,阪　神,中　日,1,0
2021/04/03,北海道日本ハム,千葉ロッテ,5,6
2021/04/03,東北楽天,オリックス,3,2
2021/04/03,福岡ソフトバンク,埼玉西武,4,7
2021/04/04,読　売,東京ヤクルト,2,1
2021/04/04,横浜DeNA,広島東洋,3,1
2021/04/04,阪　神,中　日,3,1
2021/04/04,北海道日本ハム,千葉ロッテ,1,1
2021/04/04,東北楽天,オリックス,0,4
2021/04/04,福岡ソフトバンク,埼玉西武,2,4
